filename	cm_label
20033611	spoof
20033619	spoof
20033627	spoof
20033635	spoof
20033643	spoof
20033651	spoof
20033659	spoof
20033667	spoof
20033675	spoof
20033683	spoof
20033691	spoof
20033699	spoof
20033707	spoof
20033715	spoof
20033723	spoof
20033731	spoof
20033739	spoof
20033747	spoof
20033755	spoof
20033763	spoof
20033771	spoof
20033779	spoof
20033787	spoof
20033795	spoof
20033803	spoof
20033811	spoof
20033819	spoof
20033827	spoof
20033835	spoof
20033843	spoof
20033851	spoof
20033859	spoof
20033867	spoof
20033875	spoof
20033883	spoof
20033891	spoof
20033899	spoof
20033907	spoof
20033915	spoof
20033923	spoof
20033931	spoof
20033939	spoof
20033947	spoof
20033955	spoof
20033963	spoof
20033971	spoof
20033979	spoof
20033987	spoof
20033995	spoof
20034003	spoof
20034011	spoof
20034019	spoof
20034027	spoof
20034035	spoof
20034043	spoof
20034051	spoof
20034059	spoof
20034067	spoof
20034075	spoof
20034083	spoof
20034091	spoof
20034099	spoof
20034107	spoof
20034115	spoof
20034123	spoof
20034131	spoof
20034139	spoof
20034147	spoof
20034155	spoof
20034163	spoof
20034171	spoof
20034179	spoof
20034187	spoof
20034195	spoof
20034203	spoof
20034211	spoof
20034219	spoof
20034227	spoof
20034235	spoof
20034243	spoof
20034251	spoof
20034259	spoof
20034267	spoof
20034275	spoof
20034283	spoof
20034291	spoof
20034299	spoof
20034307	spoof
20034315	spoof
20034323	spoof
20034331	spoof
20034339	spoof
20034347	spoof
20034355	spoof
20034363	spoof
20034371	spoof
20034379	spoof
20034387	spoof
20034395	spoof
20034403	spoof
20034411	spoof
20034419	spoof
20034427	spoof
20034435	spoof
20034443	spoof
20034451	spoof
20034459	spoof
20034467	spoof
20034475	spoof
20034483	spoof
20034491	spoof
20034499	spoof
20034507	spoof
20034515	spoof
20034523	spoof
20034531	spoof
20034539	spoof
20034547	spoof
20034555	spoof
20034563	spoof
20034571	spoof
20034579	spoof
20034587	spoof
20034595	spoof
20034603	spoof
20034611	spoof
20034619	spoof
20034627	spoof
20034635	spoof
20034643	spoof
20034651	spoof
20034659	spoof
20034667	spoof
20034675	spoof
20034683	spoof
20034691	spoof
20034699	spoof
20034707	spoof
20034715	spoof
20034723	spoof
20034731	spoof
20034739	spoof
20034747	spoof
20034755	spoof
20034763	spoof
20034771	spoof
20034779	spoof
20034787	spoof
20034795	spoof
20034803	spoof
20034811	spoof
20034819	spoof
20034827	spoof
20034835	spoof
20034843	spoof
20034851	spoof
20034859	spoof
20034867	spoof
20034875	spoof
20034883	spoof
20034891	spoof
20034899	spoof
20034907	spoof
20034915	spoof
20034923	spoof
20034931	spoof
20034939	spoof
20034947	spoof
20034955	spoof
20034963	spoof
20034971	spoof
20034979	spoof
20034987	spoof
20034995	spoof
20035003	spoof
20035011	spoof
20035019	spoof
20035027	spoof
20035035	spoof
20035043	spoof
20035051	spoof
20035059	spoof
20035067	spoof
20035075	spoof
20035083	spoof
20035091	spoof
20035099	spoof
20035107	spoof
20033637	spoof
20033645	spoof
20033653	spoof
20033661	spoof
20033669	spoof
20033677	spoof
20033685	spoof
20033693	spoof
20033701	spoof
20033709	spoof
20033717	spoof
20033725	spoof
20033733	spoof
20033741	spoof
20033749	spoof
20033757	spoof
20033765	spoof
20033773	spoof
20033621	spoof
20033629	spoof
20033781	spoof
20033789	spoof
20033797	spoof
20033805	spoof
20033813	spoof
20033821	spoof
20033829	spoof
20033837	spoof
20033845	spoof
20033853	spoof
20033861	spoof
20033869	spoof
20033877	spoof
20033885	spoof
20033893	spoof
20033901	spoof
20033909	spoof
20033917	spoof
20033925	spoof
20033933	spoof
20033941	spoof
20033949	spoof
20033957	spoof
20033965	spoof
20033973	spoof
20033981	spoof
20033989	spoof
20033997	spoof
20034005	spoof
20034013	spoof
20034021	spoof
20034029	spoof
20034037	spoof
20034045	spoof
20034053	spoof
20034061	spoof
20034069	spoof
20034077	spoof
20034085	spoof
20034093	spoof
20034101	spoof
20034109	spoof
20034117	spoof
20034125	spoof
20034133	spoof
20034141	spoof
20034149	spoof
20034157	spoof
20034165	spoof
20034173	spoof
20034181	spoof
20034189	spoof
20034197	spoof
20034205	spoof
20034213	spoof
20034221	spoof
20034229	spoof
20034237	spoof
20034245	spoof
20034253	spoof
20034261	spoof
20034269	spoof
20034277	spoof
20034285	spoof
20034293	spoof
20034301	spoof
20034309	spoof
20034317	spoof
20034325	spoof
20034333	spoof
20034341	spoof
20034349	spoof
20034357	spoof
20034365	spoof
20034373	spoof
20034381	spoof
20034389	spoof
20034397	spoof
20034405	spoof
20034413	spoof
20034421	spoof
20034429	spoof
20034437	spoof
20034445	spoof
20034453	spoof
20034461	spoof
20034469	spoof
20034477	spoof
20034485	spoof
20034493	spoof
20034501	spoof
20034509	spoof
20034517	spoof
20034525	spoof
20034533	spoof
20034541	spoof
20034549	spoof
20034557	spoof
20034565	spoof
20034573	spoof
20034581	spoof
20034589	spoof
20034597	spoof
20034605	spoof
20034613	spoof
20034621	spoof
20034629	spoof
20034637	spoof
20034645	spoof
20034653	spoof
20034661	spoof
20034669	spoof
20034677	spoof
20034685	spoof
20034693	spoof
20034701	spoof
20034709	spoof
20034717	spoof
20034725	spoof
20034733	spoof
20034741	spoof
20034749	spoof
20034757	spoof
20034765	spoof
20034773	spoof
20034781	spoof
20034789	spoof
20034797	spoof
20034805	spoof
20034813	spoof
20034821	spoof
20034829	spoof
20034837	spoof
20034845	spoof
20034853	spoof
20034861	spoof
20034869	spoof
20034877	spoof
20034885	spoof
20034893	spoof
20034901	spoof
20034909	spoof
20034917	spoof
20034925	spoof
20034933	spoof
20034941	spoof
20034949	spoof
20034957	spoof
20034965	spoof
20034973	spoof
20034981	spoof
20034989	spoof
20034997	spoof
20035005	spoof
20035013	spoof
20035021	spoof
20035029	spoof
20035037	spoof
20035045	spoof
20035053	spoof
20035061	spoof
20035069	spoof
20035077	spoof
20035085	spoof
20035093	spoof
20035101	spoof
20035109	spoof
20033617	spoof
20033625	spoof
20033633	spoof
20033641	spoof
20033649	spoof
20033657	spoof
20033665	spoof
20033673	spoof
20033681	spoof
20033689	spoof
20033697	spoof
20033705	spoof
20033713	spoof
20033721	spoof
20033729	spoof
20033737	spoof
20033745	spoof
20033753	spoof
20033761	spoof
20033769	spoof
20033777	spoof
20033785	spoof
20033793	spoof
20033801	spoof
20033809	spoof
20033817	spoof
20033825	spoof
20033833	spoof
20033841	spoof
20033849	spoof
20033857	spoof
20033865	spoof
20033873	spoof
20033881	spoof
20033889	spoof
20033897	spoof
20033905	spoof
20033913	spoof
20033921	spoof
20033929	spoof
20033937	spoof
20033945	spoof
20033953	spoof
20033961	spoof
20033969	spoof
20033977	spoof
20033985	spoof
20033993	spoof
20034001	spoof
20034009	spoof
20034017	spoof
20034025	spoof
20034033	spoof
20034041	spoof
20034049	spoof
20034057	spoof
20034065	spoof
20034073	spoof
20034081	spoof
20034089	spoof
20034097	spoof
20034105	spoof
20034113	spoof
20034121	spoof
20034129	spoof
20034137	spoof
20034145	spoof
20034153	spoof
20034161	spoof
20034169	spoof
20034177	spoof
20034185	spoof
20034193	spoof
20034201	spoof
20034209	spoof
20034217	spoof
20034225	spoof
20034233	spoof
20034241	spoof
20034249	spoof
20034257	spoof
20034265	spoof
20034273	spoof
20034281	spoof
20034289	spoof
20034297	spoof
20034305	spoof
20034313	spoof
20034321	spoof
20034329	spoof
20034337	spoof
20034345	spoof
20034353	spoof
20034361	spoof
20034369	spoof
20034377	spoof
20034385	spoof
20034393	spoof
20034401	spoof
20034409	spoof
20034417	spoof
20034425	spoof
20034433	spoof
20034441	spoof
20034449	spoof
20034457	spoof
20034465	spoof
20034473	spoof
20034481	spoof
20034489	spoof
20034497	spoof
20034505	spoof
20034513	spoof
20034521	spoof
20034529	spoof
20034537	spoof
20034545	spoof
20034553	spoof
20034561	spoof
20034569	spoof
20034577	spoof
20034585	spoof
20034593	spoof
20034601	spoof
20034609	spoof
20034617	spoof
20034625	spoof
20034633	spoof
20034641	spoof
20034649	spoof
20034657	spoof
20034665	spoof
20034673	spoof
20034681	spoof
20034689	spoof
20034697	spoof
20034705	spoof
20034713	spoof
20034721	spoof
20034729	spoof
20034737	spoof
20034745	spoof
20034753	spoof
20034761	spoof
20034769	spoof
20034777	spoof
20034785	spoof
20034793	spoof
20034801	spoof
20034809	spoof
20034817	spoof
20034825	spoof
20034833	spoof
20034841	spoof
20034849	spoof
20034857	spoof
20034865	spoof
20034873	spoof
20034881	spoof
20034889	spoof
20034897	spoof
20034905	spoof
20034913	spoof
20034921	spoof
20034929	spoof
20034937	spoof
20034945	spoof
20034953	spoof
20034961	spoof
20034969	spoof
20034977	spoof
20034985	spoof
20034993	spoof
20035001	spoof
20035009	spoof
20035017	spoof
20035025	spoof
20035033	spoof
20035041	spoof
20035049	spoof
20035057	spoof
20035065	spoof
20035073	spoof
20035081	spoof
20035089	spoof
20035097	spoof
20035105	spoof
20035113	spoof
20032127	spoof
20032135	spoof
20032143	spoof
20032151	spoof
20032159	spoof
20032167	spoof
20032175	spoof
20032183	spoof
20032191	spoof
20032199	spoof
20032207	spoof
20032215	spoof
20032223	spoof
20032231	spoof
20032239	spoof
20032247	spoof
20032255	spoof
20032263	spoof
20032271	spoof
20032279	spoof
20032287	spoof
20032295	spoof
20032303	spoof
20032311	spoof
20032319	spoof
20032327	spoof
20032335	spoof
20032343	spoof
20032351	spoof
20032359	spoof
20032367	spoof
20032375	spoof
20032383	spoof
20032391	spoof
20032399	spoof
20032407	spoof
20032415	spoof
20032423	spoof
20032431	spoof
20032439	spoof
20032447	spoof
20032455	spoof
20032463	spoof
20032471	spoof
20032479	spoof
20032487	spoof
20032495	spoof
20032503	spoof
20032511	spoof
20032519	spoof
20032527	spoof
20032535	spoof
20032543	spoof
20032551	spoof
20032559	spoof
20032567	spoof
20032575	spoof
20032583	spoof
20032591	spoof
20032599	spoof
20032607	spoof
20032615	spoof
20032623	spoof
20032631	spoof
20032639	spoof
20032647	spoof
20032655	spoof
20032663	spoof
20032671	spoof
20032679	spoof
20032687	spoof
20032695	spoof
20032703	spoof
20032711	spoof
20032719	spoof
20032727	spoof
20032735	spoof
20032743	spoof
20032751	spoof
20032759	spoof
20032767	spoof
20032775	spoof
20032783	spoof
20032791	spoof
20032799	spoof
20032807	spoof
20032815	spoof
20032823	spoof
20032831	spoof
20032839	spoof
20032847	spoof
20032855	spoof
20032863	spoof
20032871	spoof
20032879	spoof
20032887	spoof
20032895	spoof
20032903	spoof
20032911	spoof
20032919	spoof
20032927	spoof
20032935	spoof
20032943	spoof
20032951	spoof
20032959	spoof
20032967	spoof
20032975	spoof
20032983	spoof
20032991	spoof
20032999	spoof
20033007	spoof
20033015	spoof
20033023	spoof
20033031	spoof
20033039	spoof
20033047	spoof
20033055	spoof
20033063	spoof
20033071	spoof
20033079	spoof
20033087	spoof
20033095	spoof
20033103	spoof
20033111	spoof
20033119	spoof
20033127	spoof
20033135	spoof
20033143	spoof
20033151	spoof
20033159	spoof
20033167	spoof
20033175	spoof
20033183	spoof
20033191	spoof
20033199	spoof
20033207	spoof
20033215	spoof
20033223	spoof
20033231	spoof
20033239	spoof
20033247	spoof
20033255	spoof
20033263	spoof
20033271	spoof
20033279	spoof
20033287	spoof
20033295	spoof
20033303	spoof
20033311	spoof
20033319	spoof
20033327	spoof
20033335	spoof
20033343	spoof
20033351	spoof
20033359	spoof
20033367	spoof
20033375	spoof
20033383	spoof
20033391	spoof
20033399	spoof
20033407	spoof
20033415	spoof
20033423	spoof
20033431	spoof
20033439	spoof
20033447	spoof
20033455	spoof
20033463	spoof
20033471	spoof
20033479	spoof
20033487	spoof
20033495	spoof
20033503	spoof
20033511	spoof
20033519	spoof
20033527	spoof
20033535	spoof
20033543	spoof
20033551	spoof
20033559	spoof
20033567	spoof
20033575	spoof
20033583	spoof
20033671	spoof
20033679	spoof
20033687	spoof
20033695	spoof
3826	spoof
2284	spoof
13533	spoof
3024	spoof
8384	spoof
2310	spoof
2224	spoof
6183	spoof
18322	spoof
5585	spoof
2413	spoof
3258	spoof
7261	spoof
12593	spoof
3559	spoof
6079	spoof
20990	spoof
12250	spoof
7536	spoof
20939	spoof
15121	spoof
1707	spoof
8496	spoof
7744	spoof
12347	spoof
8345	spoof
15297	spoof
19948	spoof
18029	spoof
16210	spoof
13667	spoof
11039	spoof
5248	spoof
16946	spoof
18757	spoof
17872	spoof
18200	spoof
19560	spoof
19746	spoof
15837	spoof
12416	spoof
20672	spoof
2596	spoof
17469	spoof
5531	spoof
16623	spoof
788	spoof
2723	spoof
14038	spoof
14511	spoof
157	spoof
10530	spoof
15482	spoof
14245	spoof
8673	spoof
9957	spoof
15420	spoof
21626	spoof
10960	spoof
8936	spoof
10439	spoof
18820	spoof
14625	spoof
11644	spoof
11147	spoof
16315	spoof
19266	spoof
18089	spoof
9443	spoof
12080	spoof
14304	spoof
9567	spoof
7485	spoof
17407	spoof
17450	spoof
12017	spoof
16112	spoof
719	spoof
16576	spoof
11215	spoof
17665	spoof
17527	spoof
3646	spoof
4167	spoof
7933	spoof
4328	spoof
15577	spoof
10383	spoof
4707	spoof
7538	spoof
11156	spoof
2301	spoof
21112	spoof
21792	spoof
3627	spoof
14433	spoof
401	spoof
5221	spoof
5254	spoof
15902	spoof
14674	spoof
261	spoof
938	spoof
9611	spoof
11616	spoof
13904	spoof
9762	spoof
9064	spoof
19896	spoof
10256	spoof
9431	spoof
2016	spoof
19249	spoof
11813	spoof
17246	spoof
20461	spoof
14423	spoof
15135	spoof
1409	spoof
12594	spoof
4335	spoof
20642	spoof
9618	spoof
12877	spoof
11374	spoof
13914	spoof
8420	spoof
9232	spoof
8447	spoof
3570	spoof
16514	spoof
11993	spoof
16829	spoof
16313	spoof
4752	spoof
7029	spoof
16190	spoof
14889	spoof
10469	spoof
14118	spoof
13780	spoof
499	spoof
17384	spoof
14008	spoof
3916	spoof
4366	spoof
9336	spoof
12938	spoof
6143	spoof
19910	spoof
21012	spoof
14875	spoof
4776	spoof
16	spoof
7653	spoof
16304	spoof
2379	spoof
9406	spoof
5476	spoof
13108	spoof
19870	spoof
3587	spoof
16012	spoof
13968	spoof
12329	spoof
16734	spoof
11806	spoof
19806	spoof
11985	spoof
5547	spoof
12621	spoof
3453	spoof
1187	spoof
16625	spoof
