filename	cm_label
1-4993-40677-0048	spoof
0-9022-282383-0026	spoof
4-6395-86708-0033	spoof
1-17-362-0034	spoof
4-7699-105389-0059	spoof
1-3752-4944-0030	spoof
4-2089-148996-0005	spoof
0-7794-295948-0000	spoof
1-7777-106366-0040	spoof
3-6078-54013-0049	spoof
0-7416-103126-0051	spoof
0-4821-27466-0066	spoof
1-8609-262281-0009	spoof
0-4422-23271-0006	spoof
0-2952-408-0000	spoof
1-1092-134562-0005	spoof
4-1943-138033-0014	spoof
0-5776-46889-0054	spoof
3-277-127368-0079	spoof
3-7507-100463-0013	spoof
3-1806-2536-0037	spoof
1-501-125127-0044	spoof
3-1498-140041-0041	spoof
4-720-173582-0012	spoof
3-4133-6541-0035	spoof
4-7215-91628-0005	spoof
1-4051-11218-0025	spoof
1-1447-130550-0002	spoof
3-8432-16000-0008	spoof
4-2062-109873-0029	spoof
4-5772-43315-0017	spoof
0-27-124992-0037	spoof
4-6978-92936-0001	spoof
1-5328-204986-0114	spoof
4-2816-4136-0055	spoof
3-5439-31625-0100	spoof
4-1578-6379-0042	spoof
0-5874-52160-0082	spoof
0-7226-86965-0016	spoof
1-2526-156061-0032	spoof
4-70-121130-0011	spoof
4-6269-66184-0007	spoof
4-1974-139741-0009	spoof
0-7835-97730-0057	spoof
4-151-125753-0024	spoof
1-5172-29468-0001	spoof
1-6345-64257-0012	spoof
0-6346-60784-0006	spoof
4-5393-19219-0003	spoof
1-7117-86710-0031	spoof
0-672-122797-0009	spoof
4-8009-282531-0026	spoof
0-3100-142810-0074	spoof
1-1112-1043-0016	spoof
0-4443-3992-0012	spoof
4-2930-163437-0000	spoof
0-8441-281327-0027	spoof
3-8302-282524-0010	spoof
1-1252-134983-0039	spoof
3-3738-176683-0012	spoof
4-147-125737-0015	spoof
0-6945-60535-0037	spoof
3-2284-135909-0122	spoof
0-8463-287645-0014	spoof
0-428-125878-0040	spoof
0-4991-6180-0031	spoof
1-730-360-0032	spoof
3-7069-246893-0010	spoof
0-1601-136848-0001	spoof
3-3575-170457-0049	spoof
0-7090-91801-0087	spoof
1-2089-133059-0013	spoof
4-5567-22441-0014	spoof
1-4172-185480-0020	spoof
