filename	cm_label
/sasv/CM/ITW1/release_in_the_wild/0.wav	spoof
/sasv/CM/ITW1/release_in_the_wild/1.wav	spoof
/sasv/CM/ITW1/release_in_the_wild/2.wav	spoof
/sasv/CM/ITW1/release_in_the_wild/3.wav	spoof
/sasv/CM/ITW1/release_in_the_wild/4.wav	bonafide
/sasv/CM/ITW1/release_in_the_wild/5.wav	bonafide
/sasv/CM/ITW1/release_in_the_wild/6.wav	spoof
/sasv/CM/ITW1/release_in_the_wild/7.wav	bonafide
/sasv/CM/ITW1/release_in_the_wild/8.wav	bonafide
/sasv/CM/ITW1/release_in_the_wild/9.wav	bonafide
/sasv/CM/ITW1/release_in_the_wild/10.wav	spoof
/sasv/CM/ITW1/release_in_the_wild/11.wav	bonafide
/sasv/CM/ITW1/release_in_the_wild/12.wav	bonafide
/sasv/CM/ITW1/release_in_the_wild/13.wav	spoof
/sasv/CM/ITW1/release_in_the_wild/14.wav	bonafide
/sasv/CM/ITW1/release_in_the_wild/15.wav	spoof
/sasv/CM/ITW1/release_in_the_wild/16.wav	spoof
/sasv/CM/ITW1/release_in_the_wild/17.wav	spoof
/sasv/CM/ITW1/release_in_the_wild/18.wav	bonafide
/sasv/CM/ITW1/release_in_the_wild/19.wav	spoof
/sasv/CM/ITW1/release_in_the_wild/20.wav	bonafide
/sasv/CM/ITW1/release_in_the_wild/21.wav	spoof
/sasv/CM/ITW1/release_in_the_wild/22.wav	bonafide
/sasv/CM/ITW1/release_in_the_wild/23.wav	bonafide
/sasv/CM/ITW1/release_in_the_wild/24.wav	spoof
/sasv/CM/ITW1/release_in_the_wild/25.wav	spoof
/sasv/CM/ITW1/release_in_the_wild/26.wav	bonafide
/sasv/CM/ITW1/release_in_the_wild/27.wav	bonafide
/sasv/CM/ITW1/release_in_the_wild/28.wav	bonafide
/sasv/CM/ITW1/release_in_the_wild/29.wav	bonafide
/sasv/CM/ITW1/release_in_the_wild/30.wav	bonafide
/sasv/CM/ITW1/release_in_the_wild/31.wav	spoof
/sasv/CM/ITW1/release_in_the_wild/32.wav	spoof
/sasv/CM/ITW1/release_in_the_wild/33.wav	bonafide
/sasv/CM/ITW1/release_in_the_wild/34.wav	spoof
/sasv/CM/ITW1/release_in_the_wild/35.wav	spoof
/sasv/CM/ITW1/release_in_the_wild/36.wav	bonafide
/sasv/CM/ITW1/release_in_the_wild/37.wav	bonafide
/sasv/CM/ITW1/release_in_the_wild/38.wav	bonafide
/sasv/CM/ITW1/release_in_the_wild/39.wav	bonafide
/sasv/CM/ITW1/release_in_the_wild/40.wav	spoof
/sasv/CM/ITW1/release_in_the_wild/41.wav	spoof
/sasv/CM/ITW1/release_in_the_wild/42.wav	spoof
/sasv/CM/ITW1/release_in_the_wild/43.wav	spoof
/sasv/CM/ITW1/release_in_the_wild/44.wav	bonafide
/sasv/CM/ITW1/release_in_the_wild/45.wav	bonafide
/sasv/CM/ITW1/release_in_the_wild/46.wav	bonafide
/sasv/CM/ITW1/release_in_the_wild/47.wav	spoof
/sasv/CM/ITW1/release_in_the_wild/48.wav	bonafide
/sasv/CM/ITW1/release_in_the_wild/49.wav	bonafide
/sasv/CM/ITW1/release_in_the_wild/50.wav	spoof
/sasv/CM/ITW1/release_in_the_wild/51.wav	bonafide
/sasv/CM/ITW1/release_in_the_wild/52.wav	bonafide
/sasv/CM/ITW1/release_in_the_wild/53.wav	bonafide
/sasv/CM/ITW1/release_in_the_wild/54.wav	bonafide
/sasv/CM/ITW1/release_in_the_wild/55.wav	bonafide
/sasv/CM/ITW1/release_in_the_wild/56.wav	bonafide
/sasv/CM/ITW1/release_in_the_wild/57.wav	spoof
/sasv/CM/ITW1/release_in_the_wild/58.wav	bonafide
/sasv/CM/ITW1/release_in_the_wild/59.wav	spoof
/sasv/CM/ITW1/release_in_the_wild/60.wav	spoof
/sasv/CM/ITW1/release_in_the_wild/61.wav	spoof
/sasv/CM/ITW1/release_in_the_wild/62.wav	spoof
/sasv/CM/ITW1/release_in_the_wild/63.wav	spoof
/sasv/CM/ITW1/release_in_the_wild/64.wav	bonafide
/sasv/CM/ITW1/release_in_the_wild/65.wav	spoof
/sasv/CM/ITW1/release_in_the_wild/66.wav	bonafide
/sasv/CM/ITW1/release_in_the_wild/67.wav	bonafide
/sasv/CM/ITW1/release_in_the_wild/68.wav	spoof
/sasv/CM/ITW1/release_in_the_wild/69.wav	spoof
/sasv/CM/ITW1/release_in_the_wild/70.wav	bonafide
