filename	cm-score
1-4993-40677-0048	-4.323750019073486
0-9022-282383-0026	-4.321285724639893
4-6395-86708-0033	-4.325291156768799
1-17-362-0034	-4.326020240783691
4-7699-105389-0059	-4.320842742919922
1-3752-4944-0030	-4.327249050140381
4-2089-148996-0005	-4.317054271697998
0-7794-295948-0000	-4.324008464813232
1-7777-106366-0040	-4.323415279388428
3-6078-54013-0049	-4.32921028137207
0-7416-103126-0051	-4.321478366851807
0-4821-27466-0066	-4.315704822540283
1-8609-262281-0009	-4.324720859527588
0-4422-23271-0006	-4.326350212097168
0-2952-408-0000	-4.329646587371826
1-1092-134562-0005	-4.3197832107543945
4-1943-138033-0014	-4.331384181976318
0-5776-46889-0054	-4.32446813583374
3-277-127368-0079	-4.324763774871826
3-7507-100463-0013	-4.326172351837158
3-1806-2536-0037	-4.329711437225342
1-501-125127-0044	-4.326060771942139
3-1498-140041-0041	-4.320101261138916
4-720-173582-0012	-4.322076797485352
3-4133-6541-0035	-4.319326877593994
4-7215-91628-0005	-4.3294501304626465
1-4051-11218-0025	-4.316447734832764
1-1447-130550-0002	-4.319697856903076
3-8432-16000-0008	-4.31972074508667
4-2062-109873-0029	-4.329603672027588
4-5772-43315-0017	-4.324696063995361
0-27-124992-0037	-4.319851398468018
4-6978-92936-0001	-4.319581508636475
1-5328-204986-0114	-4.327773094177246
4-2816-4136-0055	-4.321357250213623
3-5439-31625-0100	-4.316169261932373
4-1578-6379-0042	-4.323222637176514
0-5874-52160-0082	-4.319834232330322
0-7226-86965-0016	-4.322056770324707
1-2526-156061-0032	-4.327798843383789
4-70-121130-0011	-4.323454856872559
4-6269-66184-0007	-4.325031280517578
4-1974-139741-0009	-4.314453601837158
0-7835-97730-0057	-4.32358980178833
4-151-125753-0024	-4.320286273956299
1-5172-29468-0001	-4.330138206481934
1-6345-64257-0012	-4.329533100128174
0-6346-60784-0006	-4.326639652252197
4-5393-19219-0003	-4.324492454528809
1-7117-86710-0031	-4.326155662536621
0-672-122797-0009	-4.321244716644287
4-8009-282531-0026	-4.324317455291748
0-3100-142810-0074	-4.329390048980713
1-1112-1043-0016	-4.326615810394287
0-4443-3992-0012	-4.324460506439209
4-2930-163437-0000	-4.321796894073486
0-8441-281327-0027	-4.325341701507568
3-8302-282524-0010	-4.320343494415283
1-1252-134983-0039	-4.329899311065674
3-3738-176683-0012	-4.328516960144043
4-147-125737-0015	-4.332021236419678
0-6945-60535-0037	-4.327702045440674
3-2284-135909-0122	-4.321444988250732
0-8463-287645-0014	-4.31997537612915
0-428-125878-0040	-4.324613094329834
0-4991-6180-0031	-4.328451633453369
1-730-360-0032	-4.32345724105835
3-7069-246893-0010	-4.319429874420166
0-1601-136848-0001	-4.32215690612793
3-3575-170457-0049	-4.329780101776123
0-7090-91801-0087	-4.318845272064209
1-2089-133059-0013	-4.325944423675537
4-5567-22441-0014	-4.3253254890441895
1-4172-185480-0020	-4.31914758682251
4-6625-39674-0024	-4.331305980682373
0-149-125760-0004	-4.322561740875244
4-7113-86041-0020	-4.3030104637146
1-362-123048-0028	-4.325080394744873
0-1241-121103-0023	-4.320927143096924
4-448-135065-0021	-4.323516845703125
0-4116-3582-0025	-4.32142448425293
4-3033-130750-0067	-4.322160243988037
3-3848-46063-0015	-4.329239845275879
0-3567-7276-0054	-4.335458278656006
4-5092-28465-0012	-4.324268817901611
1-5756-80689-0022	-4.331055641174316
3-8824-279153-0061	-4.320934772491455
4-1737-146161-0013	-4.326938152313232
4-1704-142310-0041	-4.327162265777588
3-7218-80699-0009	-4.31920862197876
4-2341-163407-0004	-4.32726526260376
4-6875-76999-0047	-4.326437473297119
4-6407-66983-0009	-4.323439121246338
4-8466-274557-0016	-4.316483974456787
0-7197-66278-0030	-4.3182806968688965
0-7338-92174-0026	-4.319173336029053
1-666-11243-0068	-4.322015285491943
0-4422-15542-0001	-4.325283050537109
4-1444-133287-0014	-4.326230525970459
0-6269-66176-0016	-4.324184417724609
0-6753-76099-0010	-4.319303035736084
0-7871-107222-0020	-4.327914237976074
0-2285-163380-0013	-4.319809913635254
0-6782-61316-0044	-4.323141098022461
1-5983-39666-0015	-4.324258327484131
4-8273-114823-0003	-4.319808483123779
0-2391-145015-0063	-4.323819160461426
4-2694-28858-0051	-4.325194835662842
1-3557-8341-0025	-4.321170330047607
3-2526-156098-0000	-4.33165168762207
1-7491-114605-0012	-4.320931911468506
0-2339-181100-0009	-4.321560382843018
3-202-129387-0027	-4.3286519050598145
4-4791-25377-0033	-4.3155293464660645
0-6249-102849-0033	-4.323826313018799
4-2712-3532-0018	-4.324237823486328
1-1347-135885-0029	-4.325259208679199
3-982-133226-0001	-4.31860876083374
3-2270-3547-0027	-4.325943470001221
1-6295-64301-0014	-4.321012020111084
1-3927-6557-0036	-4.331864833831787
4-61-70970-0003	-4.322281360626221
4-8259-276912-0002	-4.324312686920166
4-7177-258965-0020	-4.321064472198486
3-1349-135891-0023	-4.325395107269287
3-7046-85651-0003	-4.330680847167969
0-127-129390-0010	-4.271790981292725
0-5361-27492-0034	-4.320175647735596
4-3752-4944-0035	-4.329848766326904
3-7925-271896-0005	-4.331129550933838
3-2533-149939-0030	-4.328985214233398
1-7342-254918-0056	-4.327403545379639
0-8051-118101-0016	-4.3153605461120605
3-3686-171134-0018	-4.329265117645264
4-589-146346-0039	-4.32565975189209
1-240-160593-0011	-4.330001354217529
0-6735-284431-0019	-4.327674388885498
0-6906-65918-0052	-4.331511974334717
4-2762-142778-0029	-4.332973003387451
4-3045-163406-0010	-4.328019142150879
1-753-150477-0006	-4.327911853790283
0-8033-284029-0009	-4.323636531829834
4-118-121721-0019	-4.326143264770508
0-3179-7153-0037	-4.327370643615723
3-8321-284222-0025	-4.329844951629639
0-1462-170142-0013	-4.3312764167785645
3-1266-136523-0036	-4.329197406768799
3-3553-734-0072	-4.324345588684082
0-1474-128276-0048	-4.330429553985596
4-7402-90848-0045	-4.324897766113281
1-3060-163499-0036	-4.329789638519287
3-2785-154284-0000	-4.3206868171691895
3-8419-286676-0031	-4.329301357269287
4-57-121074-0004	-4.327332973480225
0-1050-134120-0028	-4.316007614135742
1-3033-130750-0034	-4.329717636108398
3-1094-157767-0054	-4.325973987579346
0-3079-164971-0004	-4.326229572296143
4-2989-138028-0042	-4.323275089263916
3-4422-15542-0035	-4.32744836807251
0-237-126133-0020	-4.320268630981445
4-4701-15273-0001	-4.3253350257873535
0-4860-13185-0084	-4.323498249053955
1-249-121331-0030	-4.326873779296875
0-3557-159359-0005	-4.326959133148193
1-5393-19219-0008	-4.32825231552124
1-6643-67857-0018	-4.328833103179932
0-210-129396-0020	-4.319766521453857
3-8753-297969-0008	-4.325894832611084
0-3557-8342-0035	-4.323428630828857
4-5142-36586-0001	-4.326839447021484
3-927-132462-0089	-4.3220696449279785
3-927-132462-0099	-4.322357654571533
4-708-129393-0083	-4.31780481338501
1-8190-284434-0020	-4.329822063446045
0-6119-48032-0036	-4.317579746246338
4-2724-89874-0108	-4.32428503036499
0-1776-142744-0006	-4.319269180297852
3-6782-61316-0068	-4.325175762176514
1-7559-96246-0042	-4.322625637054443
3-7510-282967-0025	-4.327230930328369
3-3100-142810-0152	-4.32490873336792
4-1384-130462-0019	-4.317310810089111
1-2146-136610-0024	-4.325525760650635
4-4310-14900-0007	-4.3282575607299805
1-174-168635-0001	-4.321858882904053
3-4427-20028-0001	-4.329718112945557
3-6399-278846-0002	-4.327850818634033
0-7881-110131-0020	-4.3187479972839355
3-5719-233361-0003	-4.327632904052734
3-4407-13132-0005	-4.32118558883667
1-8009-284678-0023	-4.33413553237915
3-2754-161876-0029	-4.331000804901123
3-2277-149896-0004	-4.323400974273682
3-2397-162238-0014	-4.317829608917236
3-51-121055-0162	-4.3247222900390625
3-1624-168623-0037	-4.321168899536133
4-1182-134316-0006	-4.3232102394104
4-1572-141718-0049	-4.326242923736572
0-6652-70975-0020	-4.316491603851318
3-1107-133727-0001	-4.321056842803955
4-1564-142299-0038	-4.327307224273682
3-2133-289460-0035	-4.325565338134766
4-2085-147971-0045	-4.326597690582275
0-5656-44576-0016	-4.322406768798828
4-6743-72306-0041	-4.3287248611450195
0-1867-154075-0019	-4.323400020599365
4-711-187466-0007	-4.313310623168945
4-1392-140654-0010	-4.3267822265625
0-3033-130750-0033	-4.322106838226318
1-6853-12339-0065	-4.320652484893799
3-8791-291101-0107	-4.324704170227051
1-5172-29468-0029	-4.322545051574707
0-448-122800-0055	-4.325308322906494
1-2276-131549-0009	-4.325934886932373
1-126-122467-0081	-4.325737476348877
3-2568-156117-0022	-4.330564022064209
1-3698-256231-0036	-4.331968307495117
3-5375-40162-0029	-4.321262836456299
4-2754-161902-0014	-4.316666126251221
4-2270-156684-0028	-4.322231769561768
0-6330-62850-0010	-4.326233386993408
4-711-187464-0059	-4.321009635925293
1-2194-141248-0008	-4.328700542449951
1-2544-3070-0024	-4.325695514678955
4-3564-132498-0085	-4.325375080108643
4-202-129387-0029	-4.327524662017822
1-7135-80032-0029	-4.325017929077148
4-1462-170142-0030	-4.32482385635376
0-4854-24732-0006	-4.323220252990723
3-2068-146217-0025	-4.329250335693359
3-4779-111201-0050	-4.321827411651611
3-7307-92008-0029	-4.318867206573486
0-1322-137589-0014	-4.325523853302002
0-1827-143625-0055	-4.323968410491943
4-6159-58440-0028	-4.325071334838867
4-2309-152160-0025	-4.3232245445251465
0-1535-141644-0008	-4.322896480560303
1-3912-82271-0015	-4.330898284912109
1-5682-32877-0030	-4.322951793670654
1-6978-92211-0000	-4.320718288421631
0-8536-244441-0035	-4.319787979125977
1-6241-61946-0008	-4.32204008102417
0-7391-60445-0084	-4.330268859863281
0-7117-86732-0026	-4.326026916503906
4-2526-156076-0021	-4.319399356842041
4-1065-134593-0022	-4.323044300079346
4-2830-3980-0058	-4.3313398361206055
4-708-129393-0113	-4.314152240753174
0-322-124146-0022	-4.329831600189209
1-6962-47545-0011	-4.320669651031494
4-51-121055-0130	-4.326274394989014
4-1594-135914-0039	-4.3234734535217285
4-5519-39478-0027	-4.3154988288879395
3-3081-166546-0027	-4.319474697113037
1-2146-136610-0000	-4.318171501159668
4-252-128411-0017	-4.314754962921143
3-8897-294717-0030	-4.324765682220459
3-426-122822-0015	-4.323023319244385
0-6506-10073-0034	-4.332461833953857
4-4779-111201-0025	-4.321244239807129
3-4910-14125-0013	-4.328545093536377
0-66-355-0039	-4.321195125579834
3-492-131899-0037	-4.320376873016357
4-3909-7140-0007	-4.322063446044922
3-2195-150894-0044	-4.323977470397949
1-6184-57833-0045	-4.3256754875183105
4-2284-135909-0140	-4.3202128410339355
4-3144-166428-0021	-4.323029518127441
1-4856-20410-0007	-4.326858997344971
3-2568-156116-0012	-4.322441577911377
4-8040-260924-0016	-4.3337907791137695
3-218-131206-0033	-4.326272487640381
1-5894-64100-0012	-4.328973770141602
4-2854-51658-0077	-4.3221821784973145
3-168-129246-0030	-4.32533597946167
0-339-132717-0090	-4.3228349685668945
1-6784-76150-0009	-4.316728115081787
3-8337-283569-0017	-4.3277177810668945
3-753-32846-0027	-4.324108123779297
4-6087-63225-0000	-4.324552059173584
0-4133-6541-0120	-4.323640823364258
3-3557-8342-0049	-4.305932998657227
1-1392-140654-0020	-4.321145534515381
4-446-123501-0045	-4.319039344787598
1-6492-68369-0022	-4.325540065765381
3-6088-34571-0041	-4.3249993324279785
0-4791-25377-0000	-4.309066295623779
1-6695-252334-0031	-4.325268268585205
4-3665-8587-0045	-4.325078964233398
3-1430-1061-0015	-4.322570323944092
4-7433-89651-0037	-4.316659927368164
4-8266-258263-0019	-4.326691150665283
0-3389-13247-0015	-4.319615840911865
0-1919-142785-0058	-4.3171563148498535
3-479-107479-0033	-4.329469203948975
1-4327-9959-0046	-4.325528144836426
1-7433-89656-0033	-4.328226089477539
0-720-173580-0009	-4.326246738433838
4-2654-158744-0046	-4.320376873016357
4-711-187464-0005	-4.323812484741211
4-925-8140-0014	-4.329594135284424
1-480-126336-0015	-4.318870544433594
0-83-11691-0042	-4.325359344482422
1-2301-157880-0026	-4.323222637176514
4-2568-156116-0021	-4.325027942657471
1-8544-281189-0081	-4.3292365074157715
4-26-495-0030	-4.326364994049072
3-7276-284424-0001	-4.323669910430908
0-8172-281514-0006	-4.321217060089111
1-6749-53254-0021	-4.324600696563721
4-3571-173554-0025	-4.32204008102417
0-576-129623-0005	-4.320549964904785
1-7065-74597-0009	-4.329900741577148
1-7021-85628-0019	-4.329587459564209
1-8023-286247-0024	-4.3232526779174805
0-2992-164100-0009	-4.325394153594971
1-6345-93302-0021	-4.310211658477783
0-6371-63713-0020	-4.317090034484863
3-1513-140222-0016	-4.325403213500977
1-4535-279852-0037	-4.317436218261719
4-127-129390-0071	-4.317423343658447
1-4090-183987-0013	-4.3102850914001465
3-4660-25053-0001	-4.325797080993652
4-1383-130532-0026	-4.328701496124268
3-3615-14672-0017	-4.323780536651611
3-2522-147156-0079	-4.325647830963135
1-3268-59225-0023	-4.322162628173828
3-1455-134435-0043	-4.326613903045654
0-1618-32402-0026	-4.323574542999268
4-6853-12339-0074	-4.327911853790283
4-3135-166688-0003	-4.329308032989502
0-4423-29084-0016	-4.325618267059326
1-58-121081-0011	-4.328883171081543
